Freebase_ID	Year_of_Birth	Name	Place_of_Birth
#9202a8c04000641f80000000137c785c	1928	Richard S. Varga	Cleveland
#9202a8c04000641f800000000054b654	1910-02-27	Joseph Leo Doob	Cincinnati
#9202a8c04000641f800000000565b73e	1930-07-27	Donald J. Newman	Brooklyn
#9202a8c04000641f8000000000119acc	1821-05-16	Pafnuty Chebyshev	Borovsk
#9202a8c04000641f8000000000a798aa	1837-02-19	Aleksandr Korkin	Totma
#9202a8c04000641f80000000008984c8	1894-06-15	Nikolai Chebotaryov	Kamianets-Podilskyi
#9202a8c04000641f800000000037f7a7	1891-09-30	Otto Schmidt	Mogilev
#9202a8c04000641f80000000004b1a32	1890-03-15	Boris Delaunay	Saint Petersburg
#9202a8c04000641f80000000047ead23	1901-03-06	Naum Ilyich Akhiezer	Cherykaw Raion
#9202a8c04000641f800000000089862c	1892-09-27	Mikhail Kravchuk	Volhynia
#9202a8c04000641f80000000003e4f21	1927-02-17	John Selfridge	Ketchikan
#9202a8c04000641f800000000081e5bb	1937	Alexander Hurwitz	
#9202a8c04000641f8000000006eb3d51	1884-07-27	D. M. Smith	Nashville
#9202a8c04000641f800000000033b1cd	1811-04-22	Otto Hesse	Königsberg
#9202a8c04000641f8000000015b95ba8	1864-03-17	Alwin Reinhold Korselt	Mittelherwigsdorf
#9202a8c04000641f800000001c5372b1	1947	Ramesh K. Agarwal	Mainpuri
#9202a8c04000641f80000000137d4632		Chiang C. Mei	
#9202a8c04000641f8000000006bf5304		Gabriel Paternain	
#9202a8c04000641f8000000015b7f472	1965	Guofang Wei	
#9202a8c04000641f80000000000b160a	1964-08-25	Maxim Kontsevich	Russia
#9202a8c04000641f8000000000e701ce	1934-01-06	William Browder	New York City
#9202a8c04000641f80000000000047c0	1856-06-14	Andrey Markov	Ryazan
#9202a8c04000641f800000000020b562	1905-02-23	Derrick Henry Lehmer	Berkeley
#9202a8c04000641f800000000aa05b49	1906-12-12	Nelson Dunford	St. Louis
#9202a8c04000641f80000000002fbbf8	1950-07-18	Jack Dongarra	
#9202a8c04000641f8000000012e8d341		Phillip Colella	
#9202a8c04000641f800000000004df95	1946-10-30	William Thurston	
#9202a8c04000641f80000000074b21df	1949-08-29	Kurt Mehlhorn	Ingolstadt
#9202a8c04000641f8000000000210b4b	1904-11-11	J. H. C. Whitehead	Chennai
#9202a8c04000641f80000000003bbc57	1895-09-29	Harold Hotelling	Fulda
#9202a8c04000641f80000000055ce1df	1888-09-19	James Waddell Alexander II	
#9202a8c04000641f80000000057637fc	1898-10-05	Philip Franklin	New York City
#9202a8c04000641f800000000041f736	1882-11-14	Robert Lee Moore	Dallas
#9202a8c04000641f8000000004f217ee		Julius Mathison Turing	
#9202a8c04000641f8000000004f2181a		Ethel Stoney Turing	
#9202a8c04000641f80000000008d8168	1919-09-22	Robin Gandy	Rotherfield Peppard
#9202a8c04000641f800000000577e57b		Angus MacIntyre	
#9202a8c04000641f8000000000c7955e	1950-09-12	Michael Fourman	Oxford
#9202a8c04000641f80000000001df5d3	1945-07-03	Saharon Shelah	Jerusalem
#9202a8c04000641f8000000000087ed3	1926-07-31	Hilary Putnam	Chicago
#9202a8c04000641f8000000000c286bf	1830-03-19	Hubert Anson Newton	
#9202a8c04000641f8000000017e4458a	1888-06-24	Georges Darmois	Éply
#9202a8c04000641f8000000006e96216	1883	Marguerite Appell	
#9202a8c04000641f80000000005e5a3b	1876-04-29	Paul Antoine Aristide Montel	Nice
#9202a8c04000641f800000001537cf5a	1884-09-07	Georges Valiron	Lyon
#9202a8c04000641f8000000000a56d3f	1906-01-10	Grigore Moisil	Tulcea
#9202a8c04000641f8000000000068f7a	1842-12-17	Sophus Lie	Nordfjordeid
#9202a8c04000641f80000000001fcb40	1904-07-08	Henri Cartan	Nancy
#9202a8c04000641f80000000002d5d7d	1905-04-19	Charles Ehresmann	Strasbourg
#9202a8c04000641f80000000008cb1eb	1907-08-16	Đuro Kurepa	Majske Poljane
#9202a8c04000641f8000000006b3a115	1907	Nachman Aronszajn	Poland
#9202a8c04000641f800000000be8d027		Ky Fan	Hangzhou
#9202a8c04000641f8000000007d4b91f	1915-03-17	Wolfgang Doeblin	Berlin
#9202a8c04000641f80000000002702d0	1860-05-03	Vito Volterra	Ancona
#9202a8c04000641f800000000000a62b	1924-11-20	Benoît Mandelbrot	Warsaw
#9202a8c04000641f8000000000408d49	1907-01-22	Michel Loève	Jaffa
#9202a8c04000641f8000000000b08888	1930	Georges Matheron	
#9202a8c04000641f8000000006c12e2a	1914-05-02	George Piranian	Thalwil
#9202a8c04000641f80000000045cc5c2	1934	Yitzhak Katznelson	Jerusalem
#9202a8c04000641f80000000056663eb	1925-09-10	Paul Malliavin	Neuilly-sur-Seine
#9202a8c04000641f8000000000415a11	1870-03-11	Louis Bachelier	Le Havre
#9202a8c04000641f8000000000954f82	1873-10-04	Dimitrie Pompeiu	Broscauti
#9202a8c04000641f8000000000eec620	1872-08-19	Théophile de Donder	Brussels
#9202a8c04000641f80000000002f42a3	1814-05-30	Eugène Charles Catalan	Bruges
#9202a8c04000641f80000000002f1ce0	1863-12-17	Henri Padé	Abbeville
#9202a8c04000641f800000000055264f		Ronald Coifman	
#9202a8c04000641f8000000000126f28	1885-06-09	John Edensor Littlewood	Rochester
#9202a8c04000641f8000000000d4d7c6	1948-01-30	Miles Reid	Hoddesdon
#9202a8c04000641f8000000006fa2fda	1947-12-02	Jean-Louis Colliot-Thélène	Quimper
#9202a8c04000641f8000000000003c55	1947-04-01	Alain Connes	France
#9202a8c04000641f80000000003f5833	1926-10-09	Stanisław Łojasiewicz	Warsaw
#9202a8c04000641f8000000000897cd8	1868-04-28	Georgy Voronoy	Poltava Oblast
#9202a8c04000641f80000000005f4ace	1889-08-29	Stanisław Ruziewicz	
#9202a8c04000641f8000000000742691	1894-04-16	Jerzy Neyman	Tighina
#9202a8c04000641f8000000009d7a06b	1934	Jerzy Browkin	Poland
#9202a8c04000641f80000000003fc9c6	1907-11-15	Edward Marczewski	Warsaw
#9202a8c04000641f800000000577642e	1937	Andrzej Schinzel	Sandomierz
#9202a8c04000641f8000000005e549de	1922-06-30	István Fáry	Gyula
#9202a8c04000641f800000000813c68c	1934-03-01	Yu-Chi Ho	Shanghai
#9202a8c04000641f80000000083be406	1730-03-02	Gottfried Christoph Beireis	Mühlhausen
#9202a8c04000641f8000000008757f88	1753-03-12	Justus Christian Loder	Riga
#9202a8c04000641f8000000000a61217	1903-10-14	Hans Hellmann	Wilhelmshaven
#9202a8c04000641f8000000012898885		Greta Erwin Blanchard	
#9202a8c04000641f800000001293b003		Mary Jane Andrews	
#9202a8c04000641f800000001293b009		Silas Franklin Millikan	
#9202a8c04000641f8000000004746bb0	1903-08-23	Clark Blanchard Millikan	
#9202a8c04000641f8000000012898b11		Glenn Allen	
#9202a8c04000641f800000000bb883a8	1915	Max Franklin	Des Moines
#9202a8c04000641f80000000001445f0	1884-09-11	Harvey Fletcher	Provo
#9202a8c04000641f800000000029a9cf	1910-12-24	William Hayward Pickering	Wellington
#9202a8c04000641f80000000009417fc	1892-04-04	Charles Christian Lauritsen	
#9202a8c04000641f80000000008e71d8	1902-01-01	Hans von Dohnanyi	Vienna
#9202a8c04000641f80000000004684b9	1929-09-18	Christoph von Dohnányi	Berlin
#9202a8c04000641f8000000000141df2	1800-08-25	Karl Hase	Niedersteinbach
#9202a8c04000641f800000000fbf85b2	1809-04-12	Pauline Härtel	Leipzig
#9202a8c04000641f800000000fbf8309	1820-12-25	Stanislaus von Kalckreuth	
#9202a8c04000641f80000000004b05ed	1935-05-04	Gabor A. Somorjai	Budapest
#9202a8c04000641f80000000011c90bb	1940-03-29	Charles E. M. Pearce	Wellington
#9202a8c04000641f80000000005e1479	1874-01-22	Leonard Eugene Dickson	Independence
#9202a8c04000641f80000000045dcb54	1918-08-16	Paul Olum	Binghamton
#9202a8c04000641f800000000033e1f8	1915-01-12	Herbert Robbins	New Castle
#9202a8c04000641f80000000002a88e7	1872-10-11	Harlan Fiske Stone	Chesterfield
#9202a8c04000641f8000000013a11dcc	1925	Richard Kadison	New York City
#9202a8c04000641f8000000000930448	1910	Sumner Byron Myers	
#9202a8c04000641f8000000000d4e94e	1914-06-03	Harry Pitt	West Bromwich
#9202a8c04000641f80000000008b4bff	1912-08-08	Ralph P. Boas, Jr	Walla Walla
#9202a8c04000641f800000000060e721	1932	Solomon W. Golomb	Baltimore
#9202a8c04000641f80000000001e113c	1908-04-11	Leo Rosten	Łódź
#9202a8c04000641f800000002066168e	1938	Philip Rosten	
#9202a8c04000641f8000000020661694		Madeline Rosten	
#9202a8c04000641f800000002066169a		Margaret Ramsey Rosten	
#9202a8c04000641f80000000206887ed		Marie Krackowizer	
#9202a8c04000641f800000000018fa9b	1820-04-27	Herbert Spencer	Derby
#9202a8c04000641f80000000047aa6b8	1891-02-04	Ernst Philip Boas	
#9202a8c04000641f800000000057684b	1904-11-29	Jules Henry	
#9202a8c04000641f800000000025244f	1876-06-11	Alfred L. Kroeber	Hoboken
#9202a8c04000641f80000000004b2d20	1883-06-12	Robert Lowie	
#9202a8c04000641f8000000000a3df54	1883-04-02	Paul Radin	Łódź
#9202a8c04000641f80000000000143bc	1884-01-26	Edward Sapir	Germany
#9202a8c04000641f80000000003a9deb	1902-01-31	Julian Steward	Washington, D.C.
#9202a8c04000641f8000000000178fb0	1930-03-26	Gregory Corso	New York City
#9202a8c04000641f800000000037d73a	1924	Joan Vollmer	Loudonville
#9202a8c04000641f800000002065bbe4		Ilse von Klapper	
#9202a8c04000641f800000002088ca16	1888-08-05	Laura Hammon Lee	
#9202a8c04000641f800000002088ca1d	1885-06-16	Mortimer Perry Burroughs	
#9202a8c04000641f80000000004df177	1947-07-21	William S. Burroughs, Jr.	Conroe
#9202a8c04000641f800000000544838a	1916-08-23	Gérard Kerouac	Dracut
#9202a8c04000641f8000000005448a38	1931	Joan Haverty	Albany
#9202a8c04000641f800000000061e874	1922	Edie Parker	
#9202a8c04000641f8000000020523568		Stella Kerouac	
#9202a8c04000641f800000000544831a	1889	Leo Alcide Kerouac	
#9202a8c04000641f8000000005448321	1895	Gabrielle-Ange Lévesque	Saint-Pâcome, Quebec
#9202a8c04000641f80000000004af14e	1952-02-16	Jan Kerouac	Albany
#9202a8c04000641f80000000003b982c	1931-11-08	George Maciunas	Kaunas
#9202a8c04000641f80000000034f06c6	1933-02-18	Yoko Ono	Tokyo
#9202a8c04000641f800000000004ff94	1904-05-11	Salvador Dalí	Figueres
#9202a8c04000641f800000001da269b0		Oona Mekas	New York City
#9202a8c04000641f8000000008f68c2c	1970-02-02	Annabelle Walker Garcia	
#9202a8c04000641f8000000008f68c32	1974-09-21	Theresa Adams Garcia	
#9202a8c04000641f8000000000657d21	1945-08-01	Laila Morse	London
#9202a8c04000641f80000000056c34ee	1967-11-10	Donya Fiorentino	Key Largo
#9202a8c04000641f8000000000b96aae	1956-03-12	Lesley Manville	Brighton
#9202a8c04000641f800000000aa1ba39	1977	Alexandra Edenborough	Somerset
#9202a8c04000641f800000001e66596b	1921	Leonard Oldman	
#9202a8c04000641f800000001e665972	1919	Kathleen Oldman	
#9202a8c04000641f800000000c425342	1988	Alfie Oldman	London
#9202a8c04000641f800000000c3e8335	1997-08-20	Gulliver Flynn Oldman	
#9202a8c04000641f800000000c3e682d	1999-02-11	Charlie John Oldman	
#9202a8c04000641f800000000c3e666d		Ryan Shawhughes	
#9202a8c04000641f800000001ff2be48		Leslie Carole Green	
#9202a8c04000641f800000001ff2be4e		James Steven "Jim" Hawke	
#9202a8c04000641f800000001ff2c034	2011-08	Indiana Hawke	
#9202a8c04000641f800000001ff2c03c	2008-07-18	Clementine Jane Hawke	
#9202a8c04000641f800000000760c953		Elizabeth Dean	
#9202a8c04000641f800000000927d076	1969	Christian K. Wedemeyer	Minneapolis
#9202a8c04000641f800000001f4d76f0		Robert Schwarzschild	
#9202a8c04000641f800000001f4d76fa		Otto Schwarzschild	
#9202a8c04000641f800000001f4d770e		Klara Schwarzschild Emden	
#9202a8c04000641f800000001f4d7718		Hermann Schwarzschild	
#9202a8c04000641f800000001f4d773e		Else Posenbach Schwarzschild	
#9202a8c04000641f800000001f4d76d0		Henrietta Francisca Sabel Schwarzschild	
#9202a8c04000641f800000001f4d76d6		Moses Martin Schwarzschild	
#9202a8c04000641f80000000003300b8	1912-05-31	Martin Schwarzschild	Potsdam
#9202a8c04000641f800000001f4d7787		Agathe Schwarzschild Thornton	
#9202a8c04000641f800000001f4d778d		Alfred Schwarzschild	
#9202a8c04000641f80000000002e57df	1880-01-21	George Van Biesbroeck	Ghent
#9202a8c04000641f8000000004612f86	1831-12-02	Paul David Gustav du Bois-Reymond	Berlin
#9202a8c04000641f8000000000e41b4d	1933-07-14	Stephen Schanuel	St. Louis
#9202a8c04000641f800000002065c097		Jayalakshmi Ramanathan	
#9202a8c04000641f800000001e177e01	1933	Kanakanahalli Ramachandra	Mandya
#9202a8c04000641f800000000041beed	1948-06-28	Kenneth Alan Ribet	
#9202a8c04000641f8000000000ae2664	1950-06-22	Benedict Gross	South Orange
#9202a8c04000641f8000000000709165	1955-03-27	Joseph H. Silverman	New York City
#9202a8c04000641f800000000bea2872		Debórah Dwork	
#9202a8c04000641f800000000c4a7cbd	1958	Cynthia Dwork	
#9202a8c04000641f8000000014adb00c		Stefan Burr	
#9202a8c04000641f8000000000514fdd	1943-12-07	Nick Katz	Baltimore
#9202a8c04000641f800000000052641a	1914-04-12	Armen Alchian	Fresno
#9202a8c04000641f8000000000f3a5b0		Matt Witten	
#9202a8c04000641f8000000000def8a2		Chiara Nappi	
#9202a8c04000641f8000000000600c90	1921-04-13	Louis Witten	Baltimore
#9202a8c04000641f80000000002f871b	1960	Cumrun Vafa	Tehran
#9202a8c04000641f8000000009eeb193	1961-11-26	Xiao-Gang Wen	Beijing
#9202a8c04000641f800000000f81eea0		Sergei Gukov	Moscow
#9202a8c04000641f800000000030a0d6	1970	Shamit Kachru	Champaign
#9202a8c04000641f800000000564bdbc	1966-01-30	Dror Bar-Natan	Israel
#9202a8c04000641f800000002068903a		Rukmini Dey	
#9202a8c04000641f800000000db14dd8		Steven Gubser	
#9202a8c04000641f800000000b52499e	1911-10-13	Angus E. Taylor	Craig
#9202a8c04000641f800000000076292d		Robert F. Sproull	
#9202a8c04000641f800000000a1c90c7		Marly Roncken	
#9202a8c04000641f800000000a1c909f		Juliet Sutherland	
#9202a8c04000641f800000000a1c90a5		Dean Sutherland	
#9202a8c04000641f80000000000277fe	1927-08-09	Marvin Minsky	New York City
#9202a8c04000641f8000000000164eb0	1940-10-06	John Warnock	Salt Lake City
#9202a8c04000641f8000000013a0f85e		Danny Cohen	Israel
#9202a8c04000641f8000000003c19171	1958-12-21	David Hillis	Copenhagen
#9202a8c04000641f8000000003c191da		Argye Hillis-Trupe	
#9202a8c04000641f80000000011ae0b7		Pati Hillis	
#9202a8c04000641f8000000003c191e9		Bill Hillis	
#9202a8c04000641f8000000014cb62da		Argye Hillis	
#9202a8c04000641f80000000000a6fca	1947-08-09	Gerald Jay Sussman	United States of America
#9202a8c04000641f8000000003c191b0		India Hillis	
#9202a8c04000641f8000000003c19191		Noah Hillis	
#9202a8c04000641f8000000003c1917d	1991-12-27	Asa Hillis	Minnesota
#9202a8c04000641f800000000009925c	1960-10-22	Brewster Kahle	New York City
#9202a8c04000641f8000000000015a81	1930-05-11	Edsger Dijkstra	Rotterdam
#9202a8c04000641f8000000009e784db		Ida Glatt McCarthy	
#9202a8c04000641f8000000009e784e1		John Patrick McCarthy	
#9202a8c04000641f80000000001c5e30	1937-06-13	Raj Reddy	Andhra Pradesh
#9202a8c04000641f80000000005358d0	1939-11-07	Barbara Liskov	
#9202a8c04000641f80000000000af6cf	1928-06-13	John Forbes Nash	Bluefield
#9202a8c04000641f800000000044a6df	1923-06-02	Lloyd Shapley	Cambridge
#9202a8c04000641f80000000004897e7	1921-12-13	David Gale	
#9202a8c04000641f80000000002995c0	1882-05-29	Harry Bateman	Manchester
#9202a8c04000641f8000000006f1938b	1925-01-07	Walter Noll	Berlin
#9202a8c04000641f80000000202ff5f0		Marian Schellenberg	
#9202a8c04000641f80000000202ff5f6		Andrew L. Gomory	
#9202a8c04000641f8000000000075627	1931-02-20	John Milnor	Orange
#9202a8c04000641f8000000000473482	1937-12-19	Barry Mazur	New York
#9202a8c04000641f8000000008e7dce5	1935-07-22	John R. Stallings	Morrilton
#9202a8c04000641f800000001312c3b2	1979	Sourav Chatterjee	Kolkata
#9202a8c04000641f8000000004850fb9		Arif Zaman	
#9202a8c04000641f80000000001b17b5	1927-03-19	Allen Newell	San Francisco
#9202a8c04000641f8000000012e9a58e	1930	Vera T. Sós	Budapest
#9202a8c04000641f8000000000ad347d	1960-10-23	Mario Szegedy	
#9202a8c04000641f800000000b8e3ded	1963-07-01	Carsten Lund	Aarhus
#9202a8c04000641f800000000c3f8039	1964	Gábor Tardos	Budapest
#9202a8c04000641f800000000025421c	1908-12-25	Herman Wold	Skien
#9202a8c04000641f8000000015b73472	1923	Ulf Grenander	Sweden
#9202a8c04000641f8000000004760cc6	1925-01-16	Germund Dahlquist	Uppsala
#9202a8c04000641f80000000006f4ebe	1918-09-13	Irving Segal	The Bronx
#9202a8c04000641f800000000483935b	1895-05-05	Stefan Bergman	
#9202a8c04000641f80000000002de50d	1921-03-20	Alfréd Rényi	Budapest
#9202a8c04000641f800000000021c91b	1903-09-10	Georges de Rham	Roche
#9202a8c04000641f80000000003fcbb3	1944-07-17	Krystyna Kuperberg	Tarnów
#9202a8c04000641f80000000057d54d5	1948	Raman Parimala	
#9202a8c04000641f800000000072e442		Jeffery H. Smith	
#9202a8c04000641f8000000006f81c9c	1917-01-08	Leonard Gillman	Cleveland
#9202a8c04000641f8000000000a2bdc2	1920	Bjarni Jónsson	
#9202a8c04000641f800000000098f863	1926-04-04	Robert Lawson Vaught	Alhambra
#9202a8c04000641f80000000001f6462	1928-12-13	Solomon Feferman	New York City
#9202a8c04000641f80000000002d9d39	1930-09-20	Richard Montague	Stockton
#9202a8c04000641f80000000003c75a7	1919-12-08	Julia Robinson	St. Louis
#9202a8c04000641f80000000056db356	1936-12-03	Howard Jerome Keisler	Seattle
#9202a8c04000641f80000000056644a8		David Haussler	
#9202a8c04000641f8000000006efa45c		Eugene Myers	
#9202a8c04000641f800000000047f25c	1944	Paul Ernest	New York City
#9202a8c04000641f8000000000506fad	1791-08-12	Henry Howard, 13th Duke of Norfolk	
#9202a8c04000641f8000000008bcdf90	1630-12-16	Mary Somerset, Duchess of Beaufort	
#9202a8c04000641f80000000002b04f3	1684-04-02	Henry Somerset, 2nd Duke of Beaufort	
#9202a8c04000641f80000000147a18b8	1690-08-27	Lady Henrietta Somerset	
#9202a8c04000641f80000000002aed91	1568	Edward Somerset, 4th Earl of Worcester	
#9202a8c04000641f8000000007b789e1	1556	Elizabeth Hastings, Countess of Worcester	
#9202a8c04000641f80000000007dc88c	1539-05-22	Edward Seymour, 1st Earl of Hertford	
#9202a8c04000641f8000000016b4015d		Thomas Howard, 1st Viscount Howard of Bindon	
#9202a8c04000641f8000000000af9512	1537	Lady Jane Grey	
#9202a8c04000641f800000000061e0e9	1517-07-16	Lady Frances Brandon	Hatfield, Hertfordshire
#9202a8c04000641f800000000032ac45	1517-01-17	Henry Grey, 1st Duke of Suffolk	
#9202a8c04000641f8000000000b3cd95	1561-09-21	Edward Seymour, Baron Beauchamp of Hache	
#9202a8c04000641f8000000009d654ce		Sir Richard Herbert	
#9202a8c04000641f8000000006b38f53	1483	Sir Thomas Parr	
#9202a8c04000641f8000000007d65d5a	1495	Maud Green	Northamptonshire
#9202a8c04000641f800000000001b10d	1548	Giordano Bruno	Nola
#9202a8c04000641f80000000009a7b87	1569	Frances Walsingham	England
#9202a8c04000641f8000000017e5f5d8		Jane Dudley, Duchess of Northumberland	Kent
#9202a8c04000641f8000000000545516	1462	Edmund Dudley	
#9202a8c04000641f8000000000132a75	1536	Lord Guildford Dudley	
#9202a8c04000641f800000000030503e	1529	Ambrose Dudley, 3rd Earl of Warwick	
#9202a8c04000641f8000000000304df0	1527	John Dudley, 2nd Earl of Warwick	
#9202a8c04000641f80000000000639e4	1532-06-24	Robert Dudley, 1st Earl of Leicester	
#9202a8c04000641f800000001980f496		Katherine Hastings, Countess of Huntingdon	
#9202a8c04000641f8000000000b26790	1595-12-01	Robert Sidney, 2nd Earl of Leicester	
#9202a8c04000641f80000000137e9355	1556-12-05	Anne Cecil	
#9202a8c04000641f8000000000015e54	1550-04-12	Edward de Vere, 17th Earl of Oxford	Castle Hedingham
#9202a8c04000641f80000000047f4549	1589-03-18	Richard Sackville, 3rd Earl of Dorset	London
#9202a8c04000641f80000000090941e0	1560-07-07	Margaret Clifford, Countess of Cumberland	
#9202a8c04000641f8000000000866ef4	1558-08-08	George Clifford, 3rd Earl of Cumberland	Brougham Castle
#9202a8c04000641f800000000022336f	1656	Thomas Herbert, 8th Earl of Pembroke	
#9202a8c04000641f8000000010041f3d	1652	Philip Herbert, 7th Earl of Pembroke	
#9202a8c04000641f8000000010098e46	1641	William Herbert, 6th Earl of Pembroke	
#9202a8c04000641f800000000480c127	1540	Reginald Grey, 5th Earl of Kent	
#9202a8c04000641f800000000480c1d7	1541	Henry Grey, 6th Earl of Kent	
#9202a8c04000641f8000000015048e74	1520	Henry Grey	
#9202a8c04000641f800000000004f024	1470-11-02	Edward V of England	Westminster
#9202a8c04000641f800000000005eb79	1466-02-11	Elizabeth of York	Palace of Westminster
#9202a8c04000641f8000000000c16341	1467-08-11	Mary of York	Windsor Castle
#9202a8c04000641f8000000000c12686	1469-03-20	Cecily of York	Palace of Westminster
#9202a8c04000641f8000000000c169c6	1475-11-02	Anne of York	Palace of Westminster
#9202a8c04000641f8000000000c16c96	1480-11-10	Bridget of York	Eltham Palace
#9202a8c04000641f8000000000c1b352	1479-08-14	Catherine of York	Eltham Palace
#9202a8c04000641f800000000005c4a8	1442-04-28	Edward IV of England	Rouen
#9202a8c04000641f800000000005eb5a	1437-02-03	Elizabeth Woodville	Grafton Regis
#9202a8c04000641f8000000000a69548	1404	Margaret Beauchamp	
#9202a8c04000641f800000000021de4b	1390	John Talbot, 1st Earl of Shrewsbury	Blakemere
#9202a8c04000641f800000000075917f	1468	George Talbot, 4th Earl of Shrewsbury	Shifnal
#9202a8c04000641f800000001312b042	1471	Anne Hastings, Countess of Shrewsbury	
#9202a8c04000641f8000000000081c6f	1545-12-07	Henry Stuart, Lord Darnley	Temple Newsam
#9202a8c04000641f80000000003baaef	1516-09-21	Matthew Stewart, 4th Earl of Lennox	Dumbarton
#9202a8c04000641f8000000000164ae0	1515-10-08	Margaret Douglas	
#9202a8c04000641f8000000000696de5	1588	William Seymour, 2nd Duke of Somerset	
#9202a8c04000641f80000000001a5826	1566-06-19	James I of England	Edinburgh Castle
#9202a8c04000641f800000000e6d1601		Christian Cavendish, Countess of Devonshire	
#9202a8c04000641f800000000072db83	1617-10-10	William Cavendish, 3rd Earl of Devonshire	
#9202a8c04000641f800000000faedb5c		Anne Percy	
#9202a8c04000641f800000000095672c	1476	William FitzAlan, 18th Earl of Arundel	
#9202a8c04000641f8000000004733799	1537	Jane Lumley	
#9202a8c04000641f800000000faedc14	1538	Henry Lord Maltravers	
#9202a8c04000641f8000000006c1632b	1477-06-22	Thomas Grey, 2nd Marquess of Dorset	
#9202a8c04000641f8000000012eb1d99	1487	Margaret Wotton, Marchioness of Dorset	
#9202a8c04000641f80000000001cff16	1488	Thomas Audley, 1st Baron Audley of Walden	Earls Colne
#9202a8c04000641f800000000059b4c7	1563-12-19	Lord William Howard	
#9202a8c04000641f800000000081ce94	1516	John de Vere, 16th Earl of Oxford	
#9202a8c04000641f80000000047628c6	1490	John de Vere, 15th Earl of Oxford	
#9202a8c04000641f800000000765cd86	1496	Elizabeth Trussell, Countess of Oxford	
#9202a8c04000641f8000000000ad5f8b	1533	Jane Howard	
#9202a8c04000641f800000000017fc5a	1473	Thomas Howard, 3rd Duke of Norfolk	
#9202a8c04000641f800000000879fb0a	1494	Elizabeth Howard, Duchess of Norfolk	
#9202a8c04000641f800000000068424b	1564	Catherine Howard, Countess of Suffolk	
#9202a8c04000641f800000000909cfe6		Edward Howard, 1st Baron Howard of Escrick	
#9202a8c04000641f80000000004087e5	1584-08-13	Theophilus Howard, 2nd Earl of Suffolk	
#9202a8c04000641f800000000068414a	1587-10-08	Thomas Howard, 1st Earl of Berkshire	Saffron Walden
#9202a8c04000641f8000000015cfb44d	1585	Robert Howard	
#9202a8c04000641f80000000004252c1	1590-05-31	Frances Carr, Countess of Somerset	
#9202a8c04000641f800000001469bbe7	1898	W. Albert Noyes, Jr.	
#9202a8c04000641f8000000005622fc5	1894	Carl Shipp Marvel	
#9202a8c04000641f8000000004715b37	1882-10-11	Hermann Irving Schlesinger	Milwaukee
#9202a8c04000641f800000001d1f3644	1880-07-23	Emma P. Carr	Holmesville
#9202a8c04000641f80000000126b8327	1870	Hertha Viktoria Ottilie von Siemens	
#9202a8c04000641f8000000000882d1f	1834-02-06	Edwin Klebs	Königsberg
#9202a8c04000641f80000000087aea38	1732-12-21	Johann Christian Wiegleb	Bad Langensalza
#9202a8c04000641f80000000046a8829	1930-09-09	Ivar Karl Ugi	Saaremaa
#9202a8c04000641f8000000008386307	1944-08-05	Johann Mulzer	Prien am Chiemsee
#9202a8c04000641f8000000000166d00	1804-12-10	Carl Gustav Jakob Jacobi	Potsdam
#9202a8c04000641f8000000008e0b0ab	1924	Hans-Egon Richert	Hamburg
#9202a8c04000641f8000000009d3ec5d	1921-08-26	Shimshon Amitsur	Jerusalem
#9202a8c04000641f80000000047353ae	1673	Elias Rudolph Camerarius Jr.	Germany
#9202a8c04000641f8000000000741b4b	1925	Herchel Smith	Plymouth
#9202a8c04000641f8000000007b53737	1869	Hans Theodor Bucherer	
#9202a8c04000641f80000000000aad51	1838-03-12	William Perkin	London
#9202a8c04000641f8000000000151c93	1827-10-25	Marcellin Berthelot	Paris
#9202a8c04000641f80000000002de457	1943-08-03	Béla Bollobás	Budapest
#9202a8c04000641f80000000056c5916	1946-07-20	Václav Chvátal	Prague
#9202a8c04000641f800000000055d912	1938-12	Neil Robertson	Canada
#9202a8c04000641f8000000007b5b07f	1967-07-04	Greg Kuperberg	
#9202a8c04000641f80000000157ea410	1967	Mahan Mitra	India
#9202a8c04000641f80000000055b3191	1693-06-19	Christian August Hausen	Dresden
#9202a8c04000641f8000000000268f86	1742-07-01	Georg Christoph Lichtenberg	Darmstadt
#9202a8c04000641f800000000037184e	1744-06-22	Johann Christian Polycarp Erxleben	Quedlinburg
#9202a8c04000641f8000000000061937	1752-09-18	Adrien-Marie Legendre	Paris
#9202a8c04000641f80000000000985f4	1736-01-25	Joseph Louis Lagrange	Turin
#9202a8c04000641f80000000001ec7a1	1749-03-23	Pierre-Simon Laplace	Beaumont-en-Auge
#9202a8c04000641f8000000000037e84	1796-06-01	Nicolas Léonard Sadi Carnot	Luxembourg Palace
#9202a8c04000641f80000000001e961f	1809-03-24	Joseph Liouville	Saint-Omer
#9202a8c04000641f80000000003a121c	1785-02-10	Claude-Louis Navier	Dijon
#9202a8c04000641f800000000072000b	1915-03-24	Paul Lorenzen	Kiel
#9202a8c04000641f80000000002d1476	1910-10-11	Cahit Arf	Thessaloniki
#9202a8c04000641f80000000000f3f0a	1913-06-18	Oswald Teichmüller	Nordhausen
#9202a8c04000641f800000001dde385c	1919-11-19	Curt Meyer	Bremerhaven
#9202a8c04000641f80000000003fa17a	1952-02-18	Martin J. Taylor	Leicester
#9202a8c04000641f800000000041fae1	1873-10-24	E. T. Whittaker	Southport
